latitude,longitude,geometry,accident_date,gender,age,road_user_type,road_user_type_desc,accident_type,accident_type_desc,num_of_vehicles,lga_name,stat_div_name,node_type_desc,road_type,location_count
-36.82417587,146.854386,Point,1550000000000,Male,58,4,Motorcyclists,4,Collision with a fixed object,1,ALPINE,Country,Non Intersection,Local Roads,1
-36.39930983,144.7499009,Point,1520000000000,Male,26,2,Drivers,1,Collision with vehicle,2,CAMPASPE,Country,Non Intersection,Main Roads,1
-38.26273973,143.6333086,Point,1520000000000,Male,51,4,Motorcyclists,1,Collision with vehicle,2,COLAC OTWAY,Country,Non Intersection,Main Roads,1
-37.04744553,143.5149919,Point,1550000000000,Male,39,2,Drivers,4,Collision with a fixed object,1,PYRENEES,Ballarat,Non Intersection,Local Roads,1
-37.7795808,145.1129329,Point,1510000000000,Male,29,4,Motorcyclists,4,Collision with a fixed object,2,MANNINGHAM,Melbourne - Inner East,Non Intersection,Main Roads,1
-37.84889665,148.0009019,Point,1510000000000,Male,17,3,Passengers,4,Collision with a fixed object,1,EAST GIPPSLAND,Country,Non Intersection,Local Roads,3
-37.84889665,148.0009019,Point,1510000000000,Male,36,3,Passengers,4,Collision with a fixed object,1,EAST GIPPSLAND,Country,Non Intersection,Local Roads,3
-37.84889665,148.0009019,Point,1510000000000,Female,18,2,Drivers,4,Collision with a fixed object,1,EAST GIPPSLAND,Country,Non Intersection,Local Roads,3
-37.82364447,145.0862461,Point,1540000000000,Female,74,2,Drivers,4,Collision with a fixed object,1,BOROONDARA,Melbourne - Inner East,Non Intersection,Local Roads,1
-36.44081464,145.0318619,Point,1550000000000,Male,57,4,Motorcyclists,4,Collision with a fixed object,1,CAMPASPE,Country,Intersection,Freeway & State Highways,1
-37.39794934,142.6578486,Point,1450000000000,Male,17,3,Passengers,4,Collision with a fixed object,1,ARARAT,Country,Non Intersection,Local Roads,1
-38.21802993,146.4756639,Point,1460000000000,Male,69,4,Motorcyclists,1,Collision with vehicle,2,LATROBE,Country,Intersection,Freeway & State Highways,1
-38.15288531,145.1575244,Point,1550000000000,Male,20,1,Pedestrians,2,Struck Pedestrian,1,FRANKSTON,Metro,Non Intersection,Main Roads,1
-37.58240816,145.064521,Point,1530000000000,Male,38,2,Drivers,4,Collision with a fixed object,1,WHITTLESEA,Melbourne - North East,Non Intersection,Local Roads,1
-37.11259828,142.7195299,Point,1530000000000,Male,52,2,Drivers,4,Collision with a fixed object,1,NORTHERN GRAMPIANS,Country,Non Intersection,Main Roads,1
-38.53019846,145.8798686,Point,1490000000000,Male,52,3,Passengers,1,Collision with vehicle,5,SOUTH GIPPSLAND,Country,Non Intersection,Freeway & State Highways,1
-34.27497685,141.18498,Point,1550000000000,Male,51,4,Motorcyclists,4,Collision with a fixed object,1,MILDURA,Country,Non Intersection,Freeway & State Highways,1
-38.37526719,146.1778104,Point,1550000000000,Male,57,4,Motorcyclists,1,Collision with vehicle,4,SOUTH GIPPSLAND,Country,Intersection,Freeway & State Highways,1
-36.73908997,142.10939,Point,1470000000000,Male,28,2,Drivers,1,Collision with vehicle,2,HORSHAM,Country,Non Intersection,Freeway & State Highways,1
-38.0429216,145.3868601,Point,1410000000000,Male,51,3,Passengers,4,Collision with a fixed object,1,CARDINIA,Melbourne - South East,Non Intersection,Local Roads,1
-36.70678926,142.2016808,Point,1480000000000,Male,32,2,Drivers,4,Collision with a fixed object,1,HORSHAM,Country,Non Intersection,Main Roads,1
-37.04691447,146.9340243,Point,1530000000000,Male,36,2,Drivers,4,Collision with a fixed object,1,ALPINE,Country,Non Intersection,Local Roads,1
-37.77057787,144.8656437,Point,1470000000000,Male,18,5,Pillion Passengers,4,Collision with a fixed object,1,MOONEE VALLEY,Melbourne - North West,Intersection,Main Roads,1
-37.38125052,144.5972717,Point,1390000000000,Male,42,4,Motorcyclists,1,Collision with vehicle,2,MACEDON RANGES,Country,Non Intersection,Tourist Roads,1
-37.74478844,144.8045466,Point,1470000000000,Female,89,1,Pedestrians,2,Struck Pedestrian,1,BRIMBANK,Melbourne - West,Intersection,Main Roads,1
-37.7671522,144.8024694,Point,1540000000000,Male,34,1,Pedestrians,1,Collision with vehicle,3,BRIMBANK,Melbourne - West,Non Intersection,Freeway & State Highways,1
-37.80294269,144.8847595,Point,1500000000000,Female,56,1,Pedestrians,2,Struck Pedestrian,1,MARIBYRNONG,Melbourne - West,Non Intersection,Freeway & State Highways,1
-37.70950226,145.1414249,Point,1460000000000,Female,61,1,Pedestrians,2,Struck Pedestrian,0,NILLUMBIK,Melbourne - North East,Intersection,Local Roads,1
-36.74293043,144.689538,Point,1400000000000,Male,40,2,Drivers,3,Struck animal,1,CAMPASPE,Country,Non Intersection,Freeway & State Highways,1
-37.75623534,144.9185251,Point,1540000000000,Male,92,1,Pedestrians,2,Struck Pedestrian,1,MOONEE VALLEY,Melbourne - Inner,Non Intersection,Main Roads,1
-37.74131367,144.9665974,Point,1530000000000,Male,69,1,Pedestrians,2,Struck Pedestrian,1,MORELAND,Melbourne - Inner,Intersection,Freeway & State Highways,1
-37.83832108,144.9865245,Point,1540000000000,Female,28,6,Bicyclists,1,Collision with vehicle,2,STONNINGTON,Melbourne - Inner,Intersection,Freeway & State Highways,1
-36.3602198,145.4158035,Point,1520000000000,Male,37,2,Drivers,1,Collision with vehicle,2,SHEPPARTON,Country,Intersection,Local Roads,1
-38.46364016,145.2389841,Point,1550000000000,Male,27,3,Passengers,4,Collision with a fixed object,1,BASS COAST,Country,Intersection,Tourist Roads,1
