lga_name,num_accidents,population,proportion,pc_of_total_accidents
ALPINE,7,12730,0.55,0.005154639
CAMPASPE,23,37592,0.61,0.016936672
COLAC OTWAY,19,21503,0.88,0.013991163
PYRENEES,8,7353,1.09,0.005891016
MANNINGHAM,10,125508,0.08,0.00736377
EAST GIPPSLAND,35,46818,0.75,0.025773196
BOROONDARA,16,181289,0.09,0.011782032
ARARAT,9,11795,0.76,0.006627393
LATROBE,22,75211,0.29,0.016200295
FRANKSTON,19,141845,0.13,0.013991163
WHITTLESEA,23,223322,0.1,0.016936672
NORTHERN GRAMPIANS,15,11431,1.31,0.011045655
SOUTH GIPPSLAND,26,29579,0.88,0.019145803
MILDURA,15,55515,0.27,0.011045655
HORSHAM,11,19875,0.55,0.008100147
CARDINIA,36,107120,0.34,0.026509573
MOONEE VALLEY,14,127883,0.11,0.010309278
MACEDON RANGES,24,49388,0.49,0.017673049
BRIMBANK,34,208714,0.16,0.025036819
MARIBYRNONG,14,91387,0.15,0.010309278
NILLUMBIK,12,64941,0.18,0.008836524
MORELAND,19,181725,0.1,0.013991163
STONNINGTON,12,116207,0.1,0.008836524
GREATER SHEPPARTON,36,66007,0.55,0.026509573
BASS COAST,10,35327,0.28,0.00736377
BALLARAT,21,107325,0.2,0.015463918
MOORABOOL,21,34158,0.61,0.015463918
CENTRAL GOLDFIELDS,7,13209,0.53,0.005154639
GREATER DANDENONG,25,166094,0.15,0.018409426
MOIRA,26,29799,0.87,0.019145803
YARRA RANGES,40,158173,0.25,0.029455081
GLENELG,24,19665,1.22,0.017673049
MELTON,27,156713,0.17,0.01988218
GOLDEN PLAINS,20,23120,0.87,0.014727541
TOWONG,5,6054,0.83,0.003681885
KNOX,25,163203,0.15,0.018409426
MURRINDINDI,30,14478,2.07,0.022091311
CORANGAMITE,19,16140,1.18,0.013991163
BAW BAW,16,52015,0.31,0.011782032
HUME,25,224394,0.11,0.018409426
CASEY,31,340419,0.09,0.022827688
SURF COAST,15,32251,0.47,0.011045655
GREATER BENDIGO,27,116045,0.23,0.01988218
MITCHELL,19,44299,0.43,0.013991163
MORNINGTON PENINSULA,37,165822,0.22,0.02724595
MONASH,24,200077,0.12,0.017673049
WYNDHAM,32,255322,0.13,0.023564065
MANSFIELD,12,8979,1.34,0.008836524
SWAN HILL,11,20759,0.53,0.008100147
INDIGO,19,16490,1.15,0.013991163
GEELONG,37,252217,0.15,0.02724595
BANYULE,11,130237,0.08,0.008100147
KINGSTON,21,163431,0.13,0.015463918
WARRNAMBOOL,4,34862,0.11,0.002945508
WELLINGTON,22,44019,0.5,0.016200295
DAREBIN,11,161609,0.07,0.008100147
GLEN EIRA,9,153858,0.06,0.006627393
SOUTHERN GRAMPIANS,10,16135,0.62,0.00736377
PORT PHILLIP,5,113200,0.04,0.003681885
MAROONDAH,13,117498,0.11,0.009572901
WODONGA,8,41429,0.19,0.005891016
WHITEHORSE,15,176196,0.09,0.011045655
YARRIAMBIACK,3,6658,0.45,0.002209131
GANNAWARRA,9,10547,0.85,0.006627393
MELBOURNE,20,169961,0.12,0.014727541
BAYSIDE,12,105718,0.11,0.008836524
WEST WIMMERA,2,3862,0.52,0.001472754
WANGARATTA,17,29087,0.58,0.012518409
STRATHBOGIE,15,10645,1.41,0.011045655
MOUNT ALEXANDER,11,19514,0.56,0.008100147
HEPBURN,17,15812,1.08,0.012518409
MOYNE,11,16887,0.65,0.008100147
BULOKE,7,6184,1.13,0.005154639
YARRA,7,98521,0.07,0.005154639
BENALLA,12,14024,0.86,0.008836524
HINDMARSH,3,5645,0.53,0.002209131
LODDON,8,7513,1.06,0.005891016
HOBSONS BAY,9,96470,0.09,0.006627393
MOUNT BULLER ALPINE RESORT (UNINC),1,19514,0.05,0.000736377
(FRENCH ISLAND),1,19514,0.05,0.000736377
