accident_date,gender,age
1.55E+12,Male,58
1.52E+12,Male,26
1.52E+12,Male,51
1.55E+12,Male,39
1.51E+12,Male,29
1.51E+12,Male,17
1.51E+12,Male,36
1.51E+12,Female,18
1.54E+12,Female,74
1.55E+12,Male,57
1.45E+12,Male,17
1.46E+12,Male,69
1.55E+12,Male,20
1.53E+12,Male,38
1.53E+12,Male,52
1.49E+12,Male,52
1.55E+12,Male,51
1.55E+12,Male,57
1.47E+12,Male,28
1.41E+12,Male,51
1.48E+12,Male,32
1.53E+12,Male,36
1.47E+12,Male,18
1.39E+12,Male,42
1.47E+12,Female,89
1.54E+12,Male,34
1.50E+12,Female,56
1.46E+12,Female,61
1.40E+12,Male,40
1.54E+12,Male,92
1.53E+12,Male,69
1.54E+12,Female,28
1.52E+12,Male,37
1.55E+12,Male,27
1.54E+12,Male,28
1.51E+12,Male,40
1.55E+12,Male,78
1.42E+12,Male,32
1.50E+12,Female,84
1.40E+12,Male,12
1.54E+12,Male,73
1.51E+12,Male,43
1.55E+12,Male,63
1.55E+12,Male,18
1.50E+12,Male,84
1.55E+12,Male,45
1.55E+12,Male,49
1.55E+12,Male,68
1.55E+12,Male,29
1.55E+12,Female,68
1.51E+12,Male,52
1.55E+12,Male,59
1.53E+12,Male,54
1.54E+12,Male,26
1.55E+12,Male,85
1.55E+12,Female,17
1.55E+12,Male,60
1.52E+12,Male,56
1.45E+12,Male,18
1.49E+12,Female,75
1.49E+12,Male,79
1.51E+12,Female,22
1.52E+12,Male,40
1.54E+12,Male,37
1.51E+12,Female,35
1.55E+12,Female,89
1.48E+12,Male,58
1.45E+12,Female,22
1.54E+12,Male,72
1.51E+12,Male,82
1.53E+12,Female,60
1.52E+12,Male,25
1.43E+12,Male,19
1.54E+12,Male,68
1.45E+12,Male,27
1.54E+12,Male,21
1.54E+12,Female,69
1.55E+12,Male,44
1.52E+12,Female,27
1.55E+12,Female,86
1.55E+12,Male,87
1.43E+12,Male,44
1.53E+12,Female,71
1.50E+12,Female,33
1.49E+12,Female,27
1.53E+12,Male,46
1.39E+12,Female,65
1.43E+12,Male,25
1.52E+12,Female,15
1.43E+12,Male,17
1.54E+12,Male,62
1.39E+12,Male,18
1.39E+12,Male,51
1.39E+12,Male,19
1.39E+12,Male,53
1.53E+12,Male,25
1.55E+12,Male,62
1.52E+12,Female,39
1.53E+12,Female,41
1.54E+12,Male,75
1.55E+12,Male,61
1.54E+12,Male,27
1.54E+12,Male,27
1.55E+12,Male,52
1.52E+12,Male,57
1.55E+12,Male,24
1.55E+12,Male,55
1.55E+12,Male,24
1.55E+12,Female,89
1.44E+12,Male,43
1.54E+12,Female,77
1.51E+12,Female,46
1.55E+12,Male,36
1.55E+12,Male,31
1.54E+12,Female,72
1.55E+12,Male,26
1.52E+12,Male,20
1.48E+12,Female,51
1.54E+12,Female,61
1.51E+12,Male,43
1.46E+12,Female,23
1.55E+12,Male,48
1.41E+12,Male,26
1.53E+12,Male,24
1.54E+12,Male,70
1.44E+12,Female,35
1.52E+12,Male,80
1.53E+12,Male,84
1.51E+12,Male,32
1.47E+12,Male,33
1.54E+12,Female,86
1.53E+12,Male,24
1.50E+12,Male,53
1.49E+12,Male,30
1.52E+12,Male,54
1.50E+12,Female,79
1.48E+12,Male,44
1.49E+12,Male,27
1.54E+12,Male,62
1.50E+12,Female,61
1.50E+12,Male,69
1.54E+12,Female,80
1.54E+12,Male,36
1.43E+12,Female,74
1.52E+12,Male,54
1.52E+12,Male,19
1.48E+12,Male,25
1.47E+12,Female,45
1.54E+12,Male,38
1.44E+12,Male,18
1.50E+12,Male,31
1.51E+12,Female,70
1.51E+12,Male,72
1.51E+12,Male,49
1.39E+12,Female,84
1.44E+12,Female,88
1.42E+12,Male,65
1.47E+12,Male,44
1.49E+12,Male,83
1.55E+12,Female,77
1.44E+12,Male,42
1.43E+12,Male,56
1.47E+12,Female,60
1.46E+12,Female,65
1.54E+12,Female,8
1.47E+12,Male,70
1.49E+12,Male,56
1.55E+12,Male,51
1.49E+12,Female,20
