lga_name,num_accidents,pc_of_total
ALPINE,7,0.515463918
CAMPASPE,23,1.693667158
COLAC OTWAY,19,1.399116348
PYRENEES,8,0.58910162
MANNINGHAM,10,0.736377025
EAST GIPPSLAND,35,2.577319588
BOROONDARA,16,1.17820324
ARARAT,9,0.662739323
LATROBE,22,1.620029455
FRANKSTON,19,1.399116348
WHITTLESEA,23,1.693667158
NORTHERN GRAMPIANS,15,1.104565538
SOUTH GIPPSLAND,26,1.914580265
MILDURA,15,1.104565538
HORSHAM,11,0.810014728
CARDINIA,36,2.65095729
MOONEE VALLEY,14,1.030927835
MACEDON RANGES,24,1.76730486
BRIMBANK,34,2.503681885
MARIBYRNONG,14,1.030927835
NILLUMBIK,12,0.88365243
MORELAND,19,1.399116348
STONNINGTON,12,0.88365243
SHEPPARTON,36,2.65095729
BASS COAST,10,0.736377025
BALLARAT,21,1.546391753
MOORABOOL,21,1.546391753
CENTRAL GOLDFIELDS,7,0.515463918
DANDENONG,25,1.840942563
MOIRA,26,1.914580265
YARRA RANGES,40,2.9455081
GLENELG,24,1.76730486
MELTON,27,1.988217968
GOLDEN PLAINS,20,1.47275405
TOWONG,5,0.368188513
KNOX,25,1.840942563
MURRINDINDI,30,2.209131075
CORANGAMITE,19,1.399116348
BAW BAW,16,1.17820324
HUME,25,1.840942563
CASEY,31,2.282768778
SURF COAST,15,1.104565538
BENDIGO,27,1.988217968
MITCHELL,19,1.399116348
MORNINGTON PENINSULA,37,2.724594993
MONASH,24,1.76730486
WYNDHAM,32,2.35640648
MANSFIELD,12,0.88365243
SWAN HILL,11,0.810014728
INDIGO,19,1.399116348
GEELONG,37,2.724594993
BANYULE,11,0.810014728
KINGSTON,21,1.546391753
WARRNAMBOOL,4,0.29455081
WELLINGTON,22,1.620029455
DAREBIN,11,0.810014728
GLEN EIRA,9,0.662739323
SOUTHERN GRAMPIANS,10,0.736377025
PORT PHILLIP,5,0.368188513
MAROONDAH,13,0.957290133
WODONGA,8,0.58910162
WHITEHORSE,15,1.104565538
YARRIAMBIACK,3,0.220913108
GANNAWARRA,9,0.662739323
MELBOURNE,20,1.47275405
BAYSIDE,12,0.88365243
WEST WIMMERA,2,0.147275405
WANGARATTA,17,1.251840943
STRATHBOGIE,15,1.104565538
MOUNT ALEXANDER,11,0.810014728
HEPBURN,17,1.251840943
MOYNE,11,0.810014728
BULOKE,7,0.515463918
YARRA,7,0.515463918
BENALLA,12,0.88365243
HINDMARSH,3,0.220913108
LODDON,8,0.58910162
HOBSONS BAY,9,0.662739323
(MOUNT BULLER),1,0.073637703
(FRENCH ISLAND),1,0.073637703
